,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,Souillac,40,MU,1580354554,94,-20.52,57.52,73.99,4.7
136,Dongobesh,100,TZ,1580354555,99,-4.07,35.38,56.89,0.81
137,Kendari,74,ID,1580354556,71,-3.94,122.5,86.41,5.01
138,Ahipara,0,NZ,1580354545,64,-35.17,173.17,86.0,1.99
139,Nuuk,0,GL,1580354559,71,64.18,-51.72,6.8,8.05
140,San Policarpo,100,PH,1580354560,72,12.18,125.51,81.32,6.53
141,Panguipulli,35,CL,1580354561,87,-39.63,-72.33,48.99,3.36
142,Touros,20,BR,1580354321,78,-5.2,-35.46,80.6,4.7
143,Agia Galini,40,GR,1580354563,87,35.1,24.68,60.01,3.36
144,Tuktoyaktuk,90,CA,1580354564,75,69.45,-133.04,-20.2,14.99
145,Hobyo,95,SO,1580354565,76,5.35,48.53,72.3,13.53
146,Coolum Beach,0,AU,1580354568,66,-26.53,153.1,91.99,1.99
147,Hirara,40,JP,1580354569,51,24.8,125.28,62.6,14.99
148,Srednekolymsk,51,RU,1580354570,80,67.45,153.68,-22.47,6.35
149,Bredasdorp,100,ZA,1580354502,72,-34.53,20.04,64.4,13.78
150,Veraval,0,IN,1580354573,40,20.9,70.37,60.19,10.98
151,Cherskiy,98,RU,1580354522,96,68.75,161.3,-24.88,7.52
152,Chokurdakh,100,RU,1580354575,97,70.63,147.92,-14.89,8.72
153,Novonikolayevskiy,100,RU,1580354576,97,50.97,42.36,36.0,4.0
154,Butaritari,60,KI,1580354577,73,3.07,172.79,84.92,8.16
155,Puerto Leguizamo,0,CO,1580354578,65,-0.19,-74.78,78.85,1.16
156,Karacabey,75,TR,1580354580,100,40.22,28.4,50.0,13.87
157,Pandamatenga,87,BW,1580354581,84,-18.53,25.63,66.7,4.54
158,Ancud,98,CL,1580354515,87,-41.87,-73.82,44.6,4.7
159,Siocon,100,PH,1580354583,79,7.71,122.14,81.39,11.01
160,Avarua,6,CK,1580354584,70,-21.21,-159.78,84.2,6.93
161,Ust-Tsilma,57,RU,1580354585,96,65.44,52.15,-14.55,4.41
162,Tiksi,100,RU,1580354586,94,71.69,128.87,-14.58,2.82
163,Luderitz,0,NA,1580354587,91,-26.65,15.16,63.7,20.78
164,Bundaberg,40,AU,1580354588,52,-24.85,152.35,91.0,13.87
165,Champerico,0,GT,1580354589,79,14.3,-91.92,75.24,2.33
166,Bubaque,100,GW,1580354591,73,11.28,-15.83,77.16,10.07
167,Normandin,5,CA,1580354592,65,48.83,-72.53,6.8,13.87
168,Sambava,100,MG,1580354593,82,-14.27,50.17,74.79,1.77
169,Esperance,75,AU,1580354594,60,-33.87,121.9,75.2,9.17
170,Longyearbyen,20,SJ,1580354595,67,78.22,15.64,21.2,10.29
171,Jamestown,1,US,1580354557,92,42.1,-79.24,21.0,6.93
172,Smithers,75,CA,1580354597,59,54.78,-127.17,37.4,6.93
173,Hermanus,0,ZA,1580354598,84,-34.42,19.23,63.0,4.0
174,Pacifica,40,US,1580354599,81,37.61,-122.49,55.99,16.11
175,Kavieng,44,PG,1580354601,79,-2.57,150.8,83.95,14.52
176,Leningradskiy,99,RU,1580354603,95,69.38,178.42,-14.84,11.52
177,Nikolskoye,90,RU,1580354604,92,59.7,30.79,30.2,11.18
178,Tigzirt,0,DZ,1580354605,69,36.89,4.12,59.07,7.49
179,Mulege,0,MX,1580354466,60,26.88,-111.98,64.04,5.73
180,Ulaangom,0,MN,1580354607,41,49.98,92.07,-0.8,1.99
181,Saint-Philippe,17,RE,1580354608,64,-21.36,55.77,75.99,5.82
182,Wakkanai,75,JP,1580354609,92,45.41,141.67,28.4,28.86
183,Bac Lieu,90,VN,1580354611,65,9.29,105.72,81.82,14.76
184,Zaysan,83,KZ,1580354613,91,47.47,84.87,-4.34,0.18
185,Kiama,0,AU,1580354614,54,-34.68,150.87,90.0,12.75
186,Faanui,99,PF,1580354615,72,-16.48,-151.75,82.47,7.4
187,Brae,93,GB,1580354517,93,60.4,-1.35,42.8,1.12
188,Guiren,0,CN,1580354617,52,33.67,118.19,41.22,10.8
189,Thompson,90,CA,1580354601,92,55.74,-97.86,15.8,9.17
190,Chicama,75,PE,1580354619,83,-7.84,-79.15,73.4,8.05
191,Bozeman,90,US,1580354621,80,45.68,-111.04,32.0,5.82
192,Susangerd,0,IR,1580354622,93,31.56,48.18,44.6,2.24
193,Provincia di Mantova,77,IT,1580354623,77,45.17,10.78,44.01,2.24
194,Beringovskiy,83,RU,1580354624,100,63.05,179.32,-3.82,9.64
195,Prescott,1,US,1580354344,69,34.54,-112.47,45.0,13.69
196,Carmelo,100,UY,1580354627,72,-33.99,-58.29,64.4,9.17
197,Manado,40,ID,1580354628,66,1.49,124.85,87.8,6.93
198,Taoudenni,0,ML,1580354629,25,22.68,-3.98,59.34,9.95
199,Canutama,71,BR,1580354631,95,-6.53,-64.38,74.89,1.5
200,Rudnaya Pristan',33,RU,1580354632,53,44.36,135.81,23.59,4.76
201,Sept-Iles,5,CA,1580354633,55,50.2,-66.38,8.01,8.05
202,Sao Geraldo do Araguaia,53,BR,1580354634,92,-6.4,-48.55,73.51,1.16
203,Cabo San Lucas,75,MX,1580354600,59,22.89,-109.91,66.2,4.7
204,Cesena,0,IT,1580354636,75,44.14,12.24,48.99,3.36
205,Si Chiang Mai,40,TH,1580354637,60,17.96,102.59,69.8,6.93
206,Olivehurst,1,US,1580354638,58,39.1,-121.55,57.99,3.36
207,Hervey Bay,40,AU,1580354639,52,-25.3,152.85,91.0,13.87
208,Tskaltubo,100,GE,1580354641,81,42.33,42.6,44.6,8.05
209,Sitka,75,US,1580354642,80,57.05,-135.33,35.6,13.87
210,Los Llanos de Aridane,95,ES,1580354643,42,28.66,-17.92,69.01,6.93
211,Camacupa,100,AO,1580354644,96,-12.02,17.48,62.1,0.34
212,Yanam,20,IN,1580354645,73,16.73,82.22,77.0,4.7
213,Zuwarah,33,LY,1580354646,49,32.93,12.08,57.51,6.93
214,Malakal,45,SS,1580354647,23,9.53,31.66,65.44,6.46
215,Novyy Nekouz,100,RU,1580354648,97,57.9,38.07,29.91,6.76
216,Hong Kong,0,HK,1580354444,25,22.29,114.16,60.8,16.11
217,Askiz,100,RU,1580354651,81,53.13,90.53,-0.4,10.09
218,Landeck,75,AT,1580354652,100,47.13,10.56,37.99,2.24
219,Lorengau,100,PG,1580354653,75,-2.02,147.27,84.15,6.69
220,Kaabong,100,UG,1580354654,77,3.48,34.15,62.64,5.21
221,Zheleznodorozhnyy,90,RU,1580354655,97,55.75,38.0,32.0,11.18
